reviewer,review
Ronny Acosta,"I was looking for something to use on my front porch that had snowflakes that would be big enough that you could tell what they were and these lights are perfect. I had purchased what I thought would be big enough snowflakes but they were way too small. With these lights, I installed them in the front area of my porch and even when I stand in the street, I can clearly see that these are snowflakes. When it comes to installing these, I have light clips that hook onto my porch and I was able to use these clips with these lights. I do have a plug nearby that these plug into. There is a small button on the inside of the plug that actually changes the way the lights stay on. I can choose either to have this solid, twinkle, flash, go in a wave and so much more. So easy to use and you can tell these are snowflakes."
Outdoor Enthusiast,"I was very, VERY skeptical of these massage guns. They just look dumb. Seriously. I made adult jokes at my friends who bought them. But most of them told me they actually liked it. At first, just two friends. Then I asked 7 and 6 of them had positive things to say. Fine, tried one of their massage guns on my shoulder that pretty much is constantly tense because of my 10+ hours in front of a computer every day with shrugged shoulders (bad posture -- have to catch myself often from doing that!). Initially, I didn't know how to use it. Had the device hit me perpendicular against the shoulder. OUCH! Then I was told to hold it at a slight angle... about 45 degrees. That made a BIG difference. Increased the massage speed and it felt even better! Okay, insert adult joke here too. Bought one for myself and have used it on me and my wife. Works wonders, but you have to make sure you use it correctly and with the correct attachment. Then I bought this smaller one as a gift for my sister-in-law as she's been wanting one too. I had asked her to let me borrow hers once she opened the gift so I could finish writing this review. This one came with several attachments. Be very careful not to use the massager against bone or you could seriously injure yourself! When you get it, charge it fully first. The Massage level goes up to 4 speeds. Battery lasts for about 10 hours, according to the manufacturer. Comparing it to the larger massager that I have, I felt that even though it's VERY light, it doesn't give as strong of a massage. Think of the difference of getting massage by someone very strong and someone weaker. Came with a case. When massaging, do not stay at the same spot for more than 60 seconds and for no more than 3 repetitions to avoid injury. The angle of impact does matter with the different muscle groups. Generally, use the following heads for various body parts:, SHOULDER: ball head, double-clawed head, flat head, UPPER ARMS: ball head, double-clawed head, flat head, CHEST: ball head, WAIST: ball head, double-clawed head, flat head, THIGH: ball head (go top to bottom), CALVES: ball head, bullet head, FOOT FASCIA: bullet head, flat head, BONE JOINTS: cushioned head. My favorite heads are the ball, flat, and cushioned ones. You can see from the above chart that the ball and flat heads are the most versatile. This massager came with: ball, flat, cylindrical bullet, and double-clawed. Enjoy your massage and get the kinks out! Don't get too kinky!"
Ronny Acosta,"I wasn't looking for something too intense and this neck massager is just perfect. I have a small neck injury and when I used my other TENS unit, it caused more issues and more pain. With this one, while it does send shocks to my neck, they're not as intense and painful as my other TENS unit. This feels as though I'm actually getting a massage. Since using this since I got it over a month ago, my neck has been feeling so much better. I have not only cut back on how much pain medications I've taken but I haven't had to go to as many therapy treatments as I used to have to. Applying this is really easy and once I have it in the area I'm needing, I just power it on and turn it up or down to the level I'm needing. With all the different levels and modes I'm able to choose from, I get the relief that I'm wanting and needing."
Ronny Acosta,"I wasn't looking for that fresh out of the dryer warmth, but it would have been nice. However, with this towel warmer, it does keep them warm. While it still is a little warm and sunny outside, I noticed that in the morning, it is still a little chilly and does help when it comes to keeping me warm, especially on a cold, tile floor. This was really easy to setup and install. It did come with everything needed to install too, except for towels. I found that how warm the towel gets kind of depends on the thickness. I have some not so thick towels and some very fluffy and thick towels. I noticed the decent ones, similar to beach towels, those do get nice and toasty. However, some of my thicker towels, they get warm but not as warm as my other ones. I have also noticed that when I put a wet head or regular towel on this, it seems to dry them a lot faster. Will definitely come in handy during the cold winter months."
Ronny Acosta,"I wasn't sure how leak proof these containers were going to be but they really are. Even if they are sitting upside down for a good while, nothing leaks out of any of these containers. I recently used the bigger one to hold a homemade sauce. Even with bouncing around in a box and then ending up being on it's side by the time I stopped, it still didn't leak out and the sauce wasn't that thick either. When it comes to cleaning, I've been able to wash these either by hand or even place them in my dishwasher. The lids I've chosen to hand wash every time as I didn't want to risk them becoming warped in my dishwasher. When it comes to storing, they stack inside of each other which makes it so much easier to store. Great quality and they store a good amount of stuff too."
Ronny Acosta,"I wear a size 10.5 to an 11 and went ahead and ordered the 11/12. I'm glad that I did because not only do these fit, but there is still a little room at the end so my heel doesn't slip off. I do have wide feet and do have to buy wide shoes, normally just a D and these fit in the width area too. As soon as they were delivered, I did try them on and what I love about these slippers is even as I put my foot inside, they were not overly tight. The slippers themselves are really comfortable to wear. Even if I'm just wearing them around the house or if I wear them outside, really comfortable. The rubber soles are great because I'm able to wear them outside without worrying about getting the fabric dirty or damaging them. Not to mention, slip proof when there's water on the ground. Really comfortable and even with wearing them every day since getting these last month, they still are in great condition."
Ronny Acosta,"I wear glasses at work which I'm required to wear a mask. I found that if my mask slips just a little, my glasses immediately fog up which prevents me from seeing, when I need to see. With this spray, I wasn't sure if it would actually work but to my surprise, it really does. Before applying, I cleaned my glasses with my normal cleaner. I then sprayed this on my glasses and used the wipe that it came with. I then turned the hot water on in my bathroom to test this out. Not only did my glasses not fog up while the bathroom filled with fog, but I was able to see. Since getting this, I use this every day and found that only 1 spray on each lens is all that I need. I love that this came with a small bottle that fits inside of my scrub pocket. I did find that since I wear my glasses between 10-12 hours a day, there have been a few times I do have to reapply. The great thing about this stuff, besides that it works, is that it doesn't make my glasses dirty or leaves smudge marks. Great spray and so easy to use."
Outdoor Enthusiast,"I wear these shorts for biking and for hiking. They fit me well and as expected (I'm 34 waist), have plenty of pockets to carry my gear, and are stiff and sturdy where I don't have to worry about ripping while out sliding down rocks. With that said, because they are so rigid, they also make you feel a bit warmer around the crotch area since it does not seem to allow sweat to dissipate as easily. Likewise, water drops fall right off and as such should work fine in rain -- up until a certain point where it becomes too damp and drops no longer fall off. Wearing these shorts feel decently good, but I would avoid their use during the hot summer months."
Ronny Acosta,"I work with a lot of wood and resin crafts and this sand paper is so easy to use for those types of crafts. Not only does it help smooth out rough spots but when I want to remove excess resin, stain, paint or really anything, this sandpaper does the trick without tearing, falling apart or leaving a bigger mess than what I'm trying to do. I do have a sanding block that I was able to use with this sandpaper and normally I have an issues with sandpaper tearing along the edges. However, with this sandpaper, it has yet to tear or rip on me when I use my sanding block with it. Really easy to trim if I need to cut the sheets too. Great for using for long periods of time or just for removing some simple scuff marks."
Ronny Acosta,"I'm not able to use my phone for music so this MP3 player really does come in handy. What I love is I don't have to have an actual connection in order to listen to my music. All I have to do is drag and drop my music. This came with almost 6GB of space but after inserting a 32GB memory card, I have way more than enough space for all of my music, PODcasts and even my ebooks. The other thing I love about this is if I want to, I can even upload videos with this MP3 player and actually watch shows and movies. This is very user friendly and is small enough that it fits inside of my pocket without even noticing it. I did end up buying a screen protector for this so I don't scratch the screen as I wanted a glass screen protector. Very long battery life and will last me a full day without it dying."
Outdoor Enthusiast,"In short: this canopy is excellent for a heavy-duty one at this price point. It looks and feels like something that will actually last, but it does not appear that the frame itself is made of solid steel. I have done camping, boondocking/overlanding, and backyard entertaining for over a decade, and most canopies do not fare very well under wind. This one actually held up well in Josha Tree two weekends ago with a dust storm hitting us in the afternoon. I had expected the fabric to rip or the frame to buckle -- but it did not. The wide base feet with the included weight bags held the fort down solid. I have absolutely no trouble at all setting this up and taking it down alone. The trick is to place one corner where you want it, grab the opposite corner, lift, and stretch it into place. Once it is mostly expanded, press upward on the slider until it clicks into place, then click into place all the other corners. After that, you simply lift each leg one at a time. Until I discovered that trick, setting up these metal canopies had always been a pain in the rear even with two people, but try out what I had just described. When you take it down, you do the same thing in reverse. First, lower all four legs, unfasten the corner buttons, grab any one of the legs, lift and walk it toward the opposite leg. The entire tent will simply fold up. After that, bag the tent by swinging the bag behind your back, and applying it by sliding it over the top of your head onto the tent. This effectively guides the bag over the tent so that it can slide down onto the bag unhindered. The whole operation of take down or set up takes me easily less than three minutes moving at a normal pace."
Outdoor Enthusiast,"Installation was a breeze and straight-forward. Unscrew the two bolts at the back, replace with this seat, tighten the new bolts, and done. Quiet close feature works well -- no more kids slamming the lid closed and waking everyone up."
Outdoor Enthusiast,"Installation was straight-forward and as expected for any towel hangers. Find the stud (I use a strong magnet to locate an existing nail in the wall), level the bar, mark the screw holes, install, lock with the included screw, and good to go."
Outdoor Enthusiast,"Instructions ONLY came in Chinese and Japanese. Diagrams are thankfully understandable in any language, and so setup was easy to figure out. I own the $300 Snow Peak Takibi Fire and Grill (ST-032SET) and purchased it for camping, boondocking, or overlanding, but that darn thing is HEAVY. MUCH heavier than I had expected. As a result, I had only used it ONCE. Since that purchase a year ago, I had sort of been eyeing smaller designs that would be more portable (with the understanding that they would not be able to have a fire as big as the Snow Peak.) Well, this CampingMoon one came along. (The brand claims to be focused on outdoor equipment.) It is very small and much, much lighter in weight. How did it go?  The moment you open it up, it did not feel as hefty strong as the Snow Peak, but considering that it is also much cheaper, that was to be expected. There were no chemical smells. Excellent. Setup was easy. Takedown too. Grill is oversized so it wouldn't collapse onto itself. Consider getting a fire pit mat to help protect the ground and to keep ember a bit more in check so you won't cause an accidental fire or burn whatever the grill was placed over. Overall, at $50, this grill is much cheaper, lighter, and convenient to carry around than the $300 Snow Peak that only had found use ONCE."
Outdoor Enthusiast,"It took me a loooong time trying to decide which smart lock to use for our short-term rental. There were so many brands, including established ones like Schlage, Kwikset, and others. I wanted something that was secure from a company that has been around for a while and that could be remotely controlled (like for PIN changes/assignments). Yale was recommended by Google's Nest products. Installation took a while to figure out and understand, but there's an app the instructions ask you to download for step-by-step visuals and audio prompts. Then you download the Yale Access app to configure the rest. The Bluetooth (""Access"") module is inserted into a slot in the lock itself. The WiFi module (""Connector"") is plugged into an AC outlet and, from what I found, should be found in front of the lock and not beside it for better performance. The Door Open/Closed magnetic sensor can be installed into either the door itself or screwed on. I could not figure out how to change the master code from the App after you initially configured it from the lock itself. I bought a used one and the lock sounded an annoying alarm -- figured out later to reset it. The used WiFi Connector module also did not work initially until I moved it onto an outlet opposite of the lock. When I had it next to the lock itself, it did not work. I later also found that only the iOS app version had a WiFi configuration option available -- Android did not. Yale, you did a boo-boo there that frustrated me for nearly an hour trying to troubleshoot on my Samsung phone. With all those issues taken care of, the lock works like a charm. Push the checkmark or hit the touchpad with 3 fingers, and numbers light up. Enter the code and push checkmark to unlock. You can then long-press the checkmark to lock. You can configure the PIN codes and other options through the app. Like, automatic unlock when your Bluetooth phone is in range, and auto lock when you leave. If you put the magnetic sensor into the door, the lock can also sense that the door is either open or closed. This allows you to configure automatic locking of the door if it has been open for too long. It could also notify you if it had been open for too long. History in the app shows who locked/unlocked and with what method (app or keypad). You can remotely unlock a door via WiFi too. Battery life remains to be seen. I have not yet integrated it with AirBnB/HomeAway, but the promise made by the product description is that it can integrate with those services to automatically assign and unassign PINs to guests based on their booking schedules. Nice! I like the Silver look over the others."
Outdoor Enthusiast,"It's cute, bastes as intended, and is easy to clean... like other silicone brushes. The biggest difference? This one is cute. Whether it's worth the extra price premium is up to you."
Outdoor Enthusiast,"I've been using covers for decades now. Used to heat up my food with plastic wrap, but considering how bad plastic can be for your health, I switched to damp paper sheets for some time. That costed me a lot of money over the years. I eventually got one of these types of silicone covers and game changer as in, saving money. I ordered a pair of these for my parents and our vacation home to keep the microwave cleaner. They collapse for storage and clean as easily as any silicone accessory. Colors are nice and I do not expect them to fade."
Ronny Acosta,"I've been using this binder to not only help organize when it comes to doing my bills, but also when I go shopping. I will bring my reusable totes inside 1 big reusable tote and this binder fits inside perfectly. Inside of the locking envelopes, I'm not only able to keep gift cards that I might have for that store or ones that I get back from purchasing special items, but I'm also able to keep my coupons inside. I will actually use this as my wallet when I go to the store rather than bringing my own sometimes. This binder holds so much without making the binder itself bulky. The other reason I use this binder is to keep track of my bills. I'm not only able to see what is due or coming up, but I'm able to see how much I have leftover to spend and so on. Really great and keeping track of my money so much better than scraps of paper that I constantly lose. Plus it's great at holding receipts I need to keep for whatever reasons."
Ronny Acosta,"I've been using this container to use for fresh fruit and not only is it really easy to use but it allows me to have fresh fruit for about a week. Normally, I only have a few days, if I'm lucky, to eat the fresh fruit that I buy. Since getting this container, I'm able to keep fresh fruit fresh for about a week or so. The size of the container has been the perfect size for me for when I want to take this to work to snack on a healthy option. Rather than only have at least 2-3 days, the longest that I've had fresh fruit before it went bad was 8 days. I have even used this for a homemade salad. When it comes to cleaning, I just hand wash this and done. When it comes to using, the pump on this secures the lid so tight, that even with this moving around in my lunch bag, it doesn't come loose. Not to mention, it sucks all the air out so everything lasts so much longer."
Outdoor Enthusiast,"I've used these ONE time in mud and it worked great! My AWD Toyota Highlander Sport came out without a problem. Second time around, I used it for fun on deep snow to see whether it could get out -- it did, though it required a little bit of shoveling, pushing, re-positioning, and partially breaking the ice underneath. Third time, I tested it on mud again, but noticed the board started cracking and breaking into pieces. You get what you pay for. Keep in mind that most people who use traction boards for the first time will gently press the gas pedal and then floor it harder when they see no movement. This can be very, VERY dangerous as the board could now fly out from underneath the spinning tires and potentially hurt or kill someone behind. So, NEVER EVER stand behind the board as you try to get yourself unstuck. Always push the gas gently, and if it does not work, dig and re-position the board closer and try again... GENTLY. Pushing the car helps a bit, but that's risky and should always be done well clear from the boards. I usually try to push from the middle frame that separates the front and rear passenger doors. These boards look HUGE, but they are actually a bit smaller than the other ones I have seen that work far better and cost way more too."
Outdoor Enthusiast,"Knives are an art form. The balance, feel, and ability to cut with smooth strokes can make a difference when all you do is chop day in and day out. Thankfully, that is no longer my dad's job as a former chef. He has always preferred Shun ones because of their shows craftsmanship, beauty, balance, and strength, qualities that the Japanese value very much in their work. I am by no means a knife expert, but when Shun knives have lasted him for such a long time and still cut very well, yet retain their beauty and unique look, it makes me a happy (amateur) cook! So, dad gave this cleaver a try. His immediate comment was that it felt good to grip and had a hefty, quality feel. Then he noted that the knife did not arrive sharp, and he immediately went to sharpen it. After that, he went off to cut and chop a chicken, duck, roast pork, and some raw meats and veggies. End result? He said, ""It's not bad. Not my favorite."" I told him that it costs $39, to which he muttered, ""Yeah, I can tell."" For the price, he said it works fine, but he wouldn't use it in his kitchen if he were to work at a restaurant again."
Outdoor Enthusiast,"Leg gaiters - many of my friends do not know what they are for nor their value they add for any backcountry wilderness hiker. Gaiters not only help keep your legs dry in the rain, they also keep out dirt, mud, snow, and just as importantly... Bugs. Like disease-causing ticks. When we go trekking/backpacking, one of the somewhat uncomfortable things is to find your calves completely covered in dirt and dust. Some may say that you can tuck your pants into your boots, which I had been doing for years, but when it came to rain or snow, we would sometimes find ourselves wet. In come the gaiters to solve the issue of rain and snow dripping into your shoes. They truly are wonderful! Solid material, Waterproof, Easy to put on and I am not a gaiter expert and hardly have anything negative to say about them. Practically every gaiter is recommended as long as it stays reliable during prolonged use. Gaiters that make it difficult to keep your leg breathable would not be recommended either. Get yourself a gaiter and have a happier hike."
Outdoor Enthusiast,"Look, I get it. You could put yourself something like this for less. Why don't you then, right? With that said, if you prefer to just buy a bunch of them to give out, this set is decent: has a nice select of goodies and the drawstring bag provides a nice touch. Personally, I'd just put together my own gift bag by enlisting my kids as helpers for a weekend project."
Outdoor Enthusiast,"Looks very simple and clean and lends to a minimalist look in the bathroom. Scales as expected. Wish it had some sort of memory function that could tell you your past, few weights to help you keep track of your trend, but alas, this is not a smart scale or WiFi enabled one. Those cost considerably more. For a simple, inexpensive scale, this does exactly what it was made for."
Outdoor Enthusiast,Made skin less dry and much more bearable in cold weather where skin tends to start cracking. That resulted in less irritation/itching and bleeding. It does give a small amount of pleasant scent.
Outdoor Enthusiast,Made skin less dry and much more bearable in cold weather where skin tends to start cracking. That resulted in less irritation/itching and bleeding. It does give a small amount of pleasant scent.
Outdoor Enthusiast,"Material is nice and light. Mesh at top allows heat to escape from the head where most heat escapes from the body. The neck flap can be rolled and tucked away underneath the rear brim. Fits my son's 6-year-old head well. It looks really nice, actually."
Outdoor Enthusiast,"Material is nice and light. Mesh at top allows heat to escape from the head where most heat escapes from the body. The neck flap with face mesh is a nice touch to keep mosquitoes away without getting too hot while hiking. The flap is removable, though I wish there was a way to tuck it underneath the hat too for easier access. Overall, a good hat with far better pricing than what I was able to find at the local sports stores."
Ronny Acosta,"My 7 year old has recently gotten into bows and arrows and while we have taken them to practice with a real bow and arrow, we bought this for them to practice at home. The quality of the bow is not only a great toy but has actually helped them with holding it properly. The bow itself really does shoot the soft bullets and arrows that it comes with. We ended up taking some old boxes and drew a target on it as this one doesn't come with a target to practice on. However, we found that even though these arrows/bullets don't go through the boxes, they still actually hit them pretty hard. The bow itself was really easy to setup and once set up, they were able to shoot them with no problems. While these do hurt when hit at, this also depends on how far back they are pulled and where they hit. However, this is a lot of fun as I tried it myself."
Outdoor Enthusiast,"My baby had been waking up at night curling her legs to pass gas. She appeared uncomfortable and then got cranky from the constant sleep disruption. To help her from having so much gas, my wife switched her to these Avent anti-colic bottles.

The set comes with three 4-oz bottles and one 9-oz bottle. The three bottles come with size 1 nipples and the larger bottle with a size 2. Since our daughter was only two months old when we got this set, she drank from the small bottles with the size 1 nipples. We tried size 2, but the milk flow was too fast for her and milk would spill to the side. In the past, we had only used Dr. Brown anti-colic bottles. We always had problems with those bottles because they leaked everywhere and were a pain to wash with all the different parts with small openings. Compared to Dr. Brown, these bottles have less parts to wash. There is only one piece (the green valve) that you have to insert before putting on the nipple. The valve releases the air bubbles when our baby drinks her milk. This part does not detach to separate smaller pieces like the ones in the Dr. Brown bottles. The valve can also be cleaned easily with the brush that was included in the package for these bottles. We’ve put these bottles in the top dishwasher rack to clean and they still work well. I have not experienced any leakage so far. After using these bottles for a few months and seeing our girl passing less gas, she had been more comfortable at night. She still has gas issues, but not as frequent as before. These bottles may have helped relieve some of the gas issues during milk intake. This is interesting because in the past, we did not like Philips Avent and switched to Dr. Brown's, but with this kit, we went back to Philips."
Outdoor Enthusiast,"My copy of Smokin' Southern BBQ arrived last weekend! What a great cookbook! It is a fusion of spice, ideas, techniques, and inspiration. It is a book filled with some old secrets of Southern BBQ and adventurous sauces and sides for the modern cook. The book is extremely helpful for the average person who doesn’t know all of the cuts of meats and doesn’t feel like they have time to spend in the meat market asking the butcher numerous questions about types of meat, how to cook it, and where to find it. Glenn Connaughton does a masterful job of explaining all of this: he is a born teacher with a drooling audience. These recipes are exciting and easy. We just needed the explanation so that we could have confidence at the grill! Glenn is an inspiring teacher! Grilling fish and anything past steak, chicken, and hamburgers didn’t happen in our backyard -- we stayed with what we knew how to do. We no longer need to eat out to have delicious, adventurous, and easy ribs and roasts. What an inspiration! The book has breathed new life into our kitchen and grill and it has become my “go to” gift - no better gift than good food shared between family and friends!"
Outdoor Enthusiast,"My dad had heard from many people that they had significant improvement using patches like these, but then online reviews also said they were a hoax. He decided to try it anyway for several days to see whether it would actually remove anything from his feet or not and whether he would feel better afterwards. Well, nothing happened in the first 24 hours, but after that, you slowly could see more and more things sticking to the pad -- and as a result, less black things on his feet. He did also notice an improvement in his sleep."
Outdoor Enthusiast,"My friend and I have been SCUBA diving, body boarding, and kayaking for a combined total of several decades in the cold, Pacific Ocean. We collectively have had a fair amount of experience with wetsuits ranging from $100-$600. The HISEA is the lowest priced full body suit I have ever owned or used, and my review will take that into consideration.

The HISEA is of good quality for its low price and suitable for any of the above-mentioned activities -- assuming the thickness is suitable for that time of year. The 3/2mm neoprene thickness would not be suitable for scuba diving in the fall/winter but would be ideal for kayaking and surfing. The zipper works reasonably well and smoothly without a snag.

Out of the water (without water inside the suit) it is tight, but movement is fairly easy. Once in the water, the suit will expand and the fit is much improved. One thing to note, my friend has the same wetsuit and it fits him a bit tighter than he'd like. If you are near the upper range of the manufacturer's recommended size, I would go with the next bigger size. Overall, I would recommend this suit to those who only need it a few times a year. But for those who are on the water often, I would recommend going with a higher grade (higher priced) wetsuit. TIP Always wash the wetsuit with fresh water whenever you use it in salt water. Ensure it is completely dry before putting away for storage. Ideally, hang the wetsuit on a hanger made for them for drying and storage."
Ronny Acosta,"My last stylus was never accurate when it came to writing, highlighting or really anything on either my tablet, phone or any other touchscreen. With this stylus, not only did it feel more comfortable to hold but when it comes to accuracy, it really is accurate. No matter where I'm writing, when I want to write on or in a certain area, it will write in that area. If I want to highlight a sentence, it will highlight that sentence without me having to move higher or lower than where the sentence is at. When it comes to using, I'm able to use this for almost 2 weeks before having to recharge the stylus itself and this gets used daily for at least 2-4 hours per day. Even if I'm just doodling, this stylus allows me to either do thick or hair thin lines."
Ronny Acosta,"My only complaint about these wind chimes was I did have to move them from where I originally had them because they did not get enough sunlight to charge the panel. If they don't get enough sunlight, the lights themselves either barely light up or don't at all. However, where I have them now, they get roughly about 6-8 hours of sunlight, but that depends on cloud coverage. I found that with this amount of sunlight, when the lights turn on automatically at night, they are super bright and colorful. When we have gotten a breeze, the wooden piece in the middle will hit the metal poles and sound very peacefully. When it hits the lights, it's more of a blunt sound because they are a thick plastic. Even with the amount of sunlight this wind chime gets, the plastic lights are still intact and have shown no signs of cracking or chipping. When light hits the solar panel, the lights will automatically turn off. As soon as it starts to get dark, the lights will automatically turn on."
Outdoor Enthusiast,"My rack arrived slightly bent, but I was able to restore it with a crowbar. It did not come in its own packaging, but rather inside a plastic bag inside an Amazon box. There were NO instructions on how to put this together, but I was able to figure it out by simply looking over the product's pictures on the Amazon site. Assembled it in about 30 minutes and feels sturdy. Rack itself says maximum weight was about 200 lbs, but the product description states 110 lbs. I don't like that the items are to be secured with the included, thin rip cord and would have rather seen it come with a spring-loaded metal holder (akin to a mouse trap) to more securely hold items. So, I'll have to carry with me bungee cords to ensure everything stays packed well. It's priced reasonably well, but the lack of instructions and arrival in a slightly bent state dropped the rating from 4 to 3 stars."
Outdoor Enthusiast,"My son and I have been stand up paddle boarding since November of last year, and the last two times, he had taken up the courage to stand up and actually start paddling with a kids kayak paddle I had laying around. I was fortunate to see this youth paddle available. It is just shy of 1"" too tall for his height, but that shouldn't be a problem for too long since kids grow up fast. He used it last weekend and well -- he initially had lost some balance due to the paddle being larger than what he used before, but over time, he got the hang of it and is now able to more efficiently propel us forward -- sort of. He'll get the coordination down eventually. Paddle is made up of 3 parts and floats. If yours does not float, you may want to attach a swim noodle by near the blade to keep it floating longer before it sinks. Blade is curved a bit more than what I am used to seeing with recreational iSUPs, giving it a bit more of a push than normal. Fine with me!"
Outdoor Enthusiast,"My son and I love to hike and teaching him how to navigate is a fun exercise for him. Granted, the level of accuracy of a compass is important for not getting lost, but since I am around to supervise, it works well enough to teach him the basics. Yes, I realize that I spoke about the compass first for a jacket review. The jacket itself fit my 6-year-old a bit too large, but that means that he can still wear it next year. Quality was surprisingly good, and the ability to remove the hood adds some versatility to how the jacket can be used in relation to ambient temperature and weather conditions. He loves the dinosaur pattern and can name practically any dinosaur there is out there -- all I can do is nod since I don't know how to pronounce many of them myself. Zipper opened and closed effortlessly."
Outdoor Enthusiast,"My son had been attending Montessori for the last 3 years and picked up quite an astonishing set of skills. With that said, the school does not do many science experiments, and to me, those are important to do as they help stoke the imagination and raise creativity and interest levels. This book does exactly what I want: easy-to-reproduce science experiments using mostly common, everyday items found around the household and presented in a safe manner. Most importantly, my son wants to try a new experiment nearly every single day, and that has kept him off the tablet and television set. It has also encouraged parent-child interaction and has encouraged him to go outside more often to play and find other ways to apply the science he had learned to the natural environment."
Outdoor Enthusiast,"My son has absolutely loved the KiwiCo activities we had purchased a few of especially during the stay-at-home guidance during the COVID-19 pandemic. They helped keep him interested while also encouraging parent-son bonding. This kit was easy to follow (our 5.5-year-old was able to complete most takes alone) and had nearly everything needed. The rest had to be provided with items you probably already have around the house. Overall, a fun, engaging experience for the kids with simple tasks to complete."
Outdoor Enthusiast,"My wife loves making spam musubi for when we go out on trips. I, on the other hand, prefer making sushi at home -- either cut rolls or hand rolls. For both purposes, these seaweed sheets hold up well and taste like... seaweed.  ""Premium"", eh? Sure. They are strong and did not flake like some cheap ones we tried long time ago. They tasted good and had a nice, subtle crunch. Worth the cost? If you live near an Asian market -- like Korean, Japanese, or Chinese ones -- similar sets can be had for far less. If you do not live near one, your choices are limited. For what we made these sheets with, these were good. Just too pricey for us since they are cheaper at the local markets."
Outdoor Enthusiast,"My youngest child is nearly 2 years old now. So, this bath tub is not really suitable for my kids any more. What I did get it for was for camping. How so? To wash dishes, fruit and veggies, and transport water -- without taking up the amount of space needed by plastic tubs. Silicone is also known for its anti-bacterial properties, and so that makes cleanup a bit easier. The drain hole is a nice touch, but I really have no need for it except to perhaps use it as a makeshift tank to drip water down through for washing hands or rinsing stuff off. When not camping, we are using it as a laundry basket to keep our kids' dirty clothes in."
Ronny Acosta,"No matter how much adjust this stand, once I have it locked into position, this stand really does hold it's spot. Whether I'm using this with my projector, phone, camera or even my laptop, this stand holds it all. Even if I'm working on my laptop and I'm pressing down on it, the stand itself has not once dropped down, even with the weight of my arms. This stand comes with a foam piece that fits perfectly underneath and to ensure that our projector doesn't fall over, even if someone taps it, this came with straps to help keep it held down. Even with the foam pad, I found that our projector or laptop has not over heated or get overly warm. When done, this practically folds down to nothing and fits inside of our hallway closet without taking up a lot of space. Very sturdy and easy to use."
Ronny Acosta,"No matter if we use fruit or vegetables, this juicer juices anything and everything. What helps is we just moved into a bigger house that has several fruit trees. Not only am I able to juice those and have fresh juice for any time of the day but when it comes to making different juices in general, I'm able to do so too. We also found that we ended up using some of the juice pulps as fertilizer for those same plants and our other plants. When it comes to cleaning up, depending on how much we juice, sometimes all we have to do is soak the filter in hot soapy water to remove the excess pulp that gets stuck. Overall, this juicer doesn't leak and allows us to use the fruit and vegetable pulp for our plants. Hardly takes up any space on our shelf too."
Ronny Acosta,"No matter what blade I use, each blade is super sharp. The holder itself is really comfortable to hold. I found that when doing bigger projects, I tend to use the knife that has the bigger handle. Not just because it's bigger but because it's so much more comfortable to hold. Plus with bigger projects, the handle allows me to use more pressure without hurting myself. When it comes to smaller projects, the regular handles work just fine. I do a lot of resin projects with a little bit of leather occasionally, but no matter what type of material I'm using, these knives cut through practically anything with no issues. There are even times I don't have to push hard into the material for these knives to cut either. The most convenient thing about this set is that it comes with a box that holds everything in place. No matter how much it gets moved, the extra knives are held in place with a magnet that insures they don't fall either."
Ronny Acosta,"Normally with my old mixer, if I mix dry ingredients, I have to deal with some or a good amount kind of going out of the bowl and all over my mixer. However, with this mixer, I no longer have that problem thanks to the cover on this. Whether I want to use it or not, I'm able to do so because it does come off if I want it off. However, the opening on this still allows me to add any other ingredients while this mixer is on. Whether I'm making a cake, dough or even whipping up some whip cream, nothing ever comes out of the bowl while it's on. Not to mention, even when I'm adding ingredients, I never have to worry about splashing and making a mess. This mixer is really easy to use and so much more quieter than my old mixer. Everything is easy to take apart and clean too. Really strong mixer and stays stuck on my counters."
Ronny Acosta,"Not only are these brushes great for traveling, because they are small enough and hardly take up any space but when it comes to removing dirt and anything else, these brushes get it out. What I love about these brushes is I don't have to press in too hard and they don't tear up my cuticles while brushing my nails. Whether I'm getting dirt from gardening or just cleaning up my nails after filing, these brushes get it all out. The handles are really comfortable too. I'm actually able to put a couple of fingers inside which I didn't think was going to hold them, but they really do hold it in place without it slipping out. Whether I'm using cleaner, soap or just water, these brushes get all of the debris out without damaging my fingers or cutting my cuticles."
Ronny Acosta,"Not only does this clean my teeth, but the battery life on this lasts a very long time. I use this roughly 2-3 times per week and what I love is how easy it is to use. While I still go to the dentist, I found that this helps with those in between visits. I don't need this to be used all the way up in order for it to remove plaque, but I don't have a lot of plaque build-up. When it comes to using, I'm able to use my phone to get a close up of what is going on behind my teeth and a closer view of the front of my teeth. Using this is really easy but I did make sure to read the instructions that this came with before using. I recently had a dentist appointment for a teeth cleaning and was told that I hardly had anything on my teeth and was in and out in no time. Easy to clean and disinfect too."
